"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"2","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"3","PC14-OSC32_IN(OSC32_IN)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"4","PC15-OSC32_OUT(OSC32_OUT)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"5","PH0-OSC_IN(PH0)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"6","PH1-OSC_OUT(PH1)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"7","NRST","Reset","","","","","","","","","","","","","","","","","",""
"8","PC0","I/O","","","","","","","","","SPI4_MISO","SPI2_RDY","","","OCTOSPI1_IO7","","","","","EVENTOUT"
"9","PC1","I/O","","","DEBUG_TRACED0","","","","","I2S2_SDO/SPI2_MOSI","SPI4_MOSI","","","","OCTOSPI1_IO4","","","","","EVENTOUT"
"10","PC2","I/O","","","PWR_CSLEEP","","TIM4_CH4","","","I2S2_SDI/SPI2_MISO","OCTOSPI1_IO5","","","OCTOSPI1_IO2","","","","","","EVENTOUT"
"11","PC3","I/O","","","PWR_CSTOP","","","LPUART1_TX","","I2S2_SDO/SPI2_MOSI","OCTOSPI1_IO6","","","OCTOSPI1_IO0","","","","","","EVENTOUT"
"12","VSSA","Power","","","","","","","","","","","","","","","","","",""
"13","VDDA","Power","","","","","","","","","","","","","","","","","",""
"14","PA0","I/O","","","","TIM2_CH1","TIM5_CH1","TIM8_ETR","TIM15_BKIN","SPI4_SCK","SPI3_RDY","USART2_CTS/USART2_NSS","UART4_TX","FDCAN2_RX","","","","","TIM2_ETR","EVENTOUT"
"15","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","TIM15_CH1N","LPTIM1_IN1","OCTOSPI1_DQS","USART2_DE/USART2_RTS","UART4_RX","OCTOSPI1_IO3","","","","","USART6_CK","EVENTOUT"
"16","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","LPUART1_TX","TIM15_CH1","LPTIM1_IN2","","USART2_TX","","","","","","","","EVENTOUT"
"17","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","OCTOSPI1_CLK","TIM15_CH2","I2S2_WS/SPI2_NSS","I2S3_SDO/SPI3_MOSI","USART2_RX","","","","","","","","EVENTOUT"
"18","VSS","Power","","","","","","","","","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","","","","","","","","","",""
"20","PA4","I/O","","","","","TIM5_ETR","LPTIM2_CH1","I2S3_SDO/SPI3_MOSI","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","","DCMI_HSYNC/PSSI_DE","","EVENTOUT"
"21","PA5","I/O","","","","TIM2_CH1","","TIM8_CH1N","","I2S1_CK/SPI1_SCK","","","","","","","","PSSI_D14","TIM2_ETR","EVENTOUT"
"22","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","I2S1_SDI/SPI1_MISO","OCTOSPI1_IO3","","","","","","","DCMI_PIXCLK/PSSI_PDCK","","EVENTOUT"
"23","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SDO/SPI1_MOSI","","","","","OCTOSPI1_IO2","","","","","EVENTOUT"
"24","PC4","I/O","","","","TIM2_CH4","","LPTIM2_ETR","","I2S1_MCK","","USART3_RX","","","","","","","","EVENTOUT"
"25","PC5","I/O","","","","TIM1_CH4N","","","PSSI_D15","","SPI4_SCK","","","","OCTOSPI1_DQS","","","","","EVENTOUT"
"26","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","I2S3_SDI/SPI3_MISO","OCTOSPI1_IO1","USART2_TX","UART4_CTS","","","","","","","EVENTOUT"
