"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","VSS","Power","","","","","","","","","","","","","","","","","",""
"A2","PE0","I/O","","","","LPTIM1_ETR","TIM4_ETR","LPTIM2_ETR","","","","","UART8_RX","PSSI_D2","SAI2_MCLK_A","","FMC_D9/FMC_DA9","DCMIPP_D2","","EVENTOUT"
"A3","PF3","I/O","","","","","","","","DCMIPP_D9","","","","PSSI_D9","","ETH_MII_CRS","FMC_A11","","","EVENTOUT"
"A4","PF2","I/O","","","","","","","I2C2_SMBA","DCMIPP_D14","","","","PSSI_D14","","","FMC_A10","","","EVENTOUT"
"A5","PG3","I/O","","","","","","","","DCMIPP_HSYNC","","","","PSSI_DE","","ETH_PPS_OUT","FMC_D21","","","EVENTOUT"
"A6","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"A7","PM12","I/O","","","","","","","","SPI5_NSS","","","","","USB_OTG_FS_DM","","","","",""
"A8","VSS","Power","","","","","","","","","","","","","","","","","",""
"A9","PM6","I/O","","","","","","","","","","","","","USB_OTG_HS_DP","","","","",""
"A10","PM3","I/O","","","","","","","","","UCPD1_DBCC2","","","","","","","","",""
"A11","VSS","Power","","","","","","","","","","","","","","","","","",""
"A12","PD3","I/O","","","","TIM1_CH3N","","","","I2S2_CK/SPI2_SCK","PSSI_D5","USART2_CTS/USART2_NSS","","","","","FMC_NWAIT","DCMIPP_D5","","EVENTOUT"
"A13","PE14","I/O","","","","TIM1_CH4","GFXTIM_FCKCAL","","","SPI4_MOSI","","","","","SAI2_MCLK_B","","FMC_SDNE0","GFXTIM_LCKCAL","","EVENTOUT"
"A14","PD2","I/O","","","DEBUG_TRACED2","TIM1_ETR","TIM3_ETR","","TIM15_BKIN","","PSSI_D11","","UART5_RX","","","SDMMC1_CMD","","DCMIPP_D11","","EVENTOUT"
"A15","VSS","Power","","","","","","","","","","","","","","","","","",""
"B1","PB8","I/O","","","","TIM16_CH1","TIM4_CH3","USART3_CK","I2C1_SCL/I3C1_SCL","","PSSI_D6","SDMMC1_CKIN","UART4_RX","FDCAN1_RX","SDMMC2_D4","ETH_MII_TXD3","SDMMC1_D4","DCMIPP_D6","FMC_D9/FMC_DA9","EVENTOUT"
"B2","PE2","I/O","","","DEBUG_TRACECLK","ADF1_CCK0","SAI1_CK1","LPTIM5_IN1","","SPI4_SCK","SAI1_MCLK_A","","","","","ETH_MII_TXD3","FMC_D11/FMC_DA11","","TIM1_CH2N","EVENTOUT"
"B3","PB5","I/O","","","","TIM17_BKIN","TIM3_CH2","LPTIM4_OUT","I2C1_SMBA","I2S1_SDO/SPI1_MOSI","PSSI_D10","I2S3_SDO/SPI3_MOSI","I2S6_SDO/SPI6_MOSI","FDCAN2_RX","","ETH_PPS_OUT","FMC_D12/FMC_DA12","DCMIPP_D10","UART5_RX","EVENTOUT"
"B4","PF4","I/O","","","","","","","","DCMIPP_D8","","","","PSSI_D8","","ETH_MII_TX_ER","FMC_A13","","","EVENTOUT"
"B5","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FMC_A8","","","EVENTOUT"
"B6","PD7","I/O","","","","","","","ETH_MII_RX_CLK/ETH_RMII_REF_CLK","I2S1_SDO/SPI1_MOSI","PSSI_D2","USART2_CK","","SPDIFRX_IN0","","SDMMC2_CMD","FMC_D8/FMC_DA8","DCMIPP_D2","","EVENTOUT"
"B7","PM11","I/O","","","","","","","","SPI5_SCK","","","","","USB_OTG_FS_DP","","","","",""
"B8","PM9","I/O","","","","","","","","","","UART7_TX","","","USB_OTG_HS_ID","","","","",""
"B9","PM5","I/O","","","","","","","","","","","","","USB_OTG_HS_DM","","","","",""
"B10","PM2","I/O","","","","","","","","","UCPD1_DBCC1","","","","","","","","",""
"B11","PG0","I/O","","","","TIM1_CH4N","","","","","","","","","","","","","","EVENTOUT"
"B12","PE13","I/O","","","","TIM1_CH3","","","","SPI4_MISO","","","","","SAI2_FS_B","","FMC_SDNCAS","","","EVENTOUT"
"B13","PD1","I/O","","","","","","","","","","FMC_A23","UART4_TX","FDCAN1_TX","","","FMC_A7","","","EVENTOUT"
"B14","PC10","I/O","","","","TIM1_BKIN","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","PSSI_D14","","","SDMMC1_D2","DCMIPP_D14","","EVENTOUT"
"B15","PC11","I/O","","","","","","","","","I2S3_SDI/SPI3_MISO","USART3_RX","UART4_RX","PSSI_D4","","SDMMC1_D3","","DCMIPP_D4","","EVENTOUT"
"C1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"C2","PB9","I/O","","","","TIM17_CH1","TIM4_CH4","","I2C1_SDA/I3C1_SDA","I2S2_WS/SPI2_NSS","PSSI_D7","SDMMC1_CDIR","UART4_TX","FDCAN1_TX","SDMMC2_D5","","SDMMC1_D5","DCMIPP_D7","","EVENTOUT"
"C3","PE1","I/O","","","","LPTIM1_IN2","","LPTIM2_CH2","","","","","UART8_TX","PSSI_D3","","","FMC_D10/FMC_DA10","DCMIPP_D3","","EVENTOUT"
"C4","PB3(JTDO/TRACESWO)","I/O","","","DEBUG_JTDO-SWO","TIM2_CH2","","LPTIM4_IN1","DCMIPP_HSYNC","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","I2S6_CK/SPI6_SCK","SDMMC2_D2","CRS_SYNC","UART7_RX","FMC_D14/FMC_DA14","","PSSI_DE","EVENTOUT"
"C5","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FMC_A9","","","EVENTOUT"
"C6","PG2","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C7","PM13","I/O","","","","","","","","SPI5_MOSI","","","","","USB_OTG_FS_ID","","","","",""
"C8","PM14","I/O","","","","","","","","SPI5_MISO","","","","","USB_OTG_FS_VBUS","","","","",""
"C9","PM8","I/O","","","","","","","","","","UART7_RX","","","USB_OTG_HS_VBUS","","","","",""
"C10","PM1","I/O","","","","","","","","","UCPD1_CC2","","","","","","","","",""
"C11","PD4","I/O","","","","","","","","DCMIPP_HSYNC","PSSI_DE","USART2_DE/USART2_RTS","","","","ETH_PHY_INTN","FMC_NL","","","EVENTOUT"
"C12","PE11","I/O","","","","TIM1_CH2","","","","SPI4_NSS","","","","","SAI2_SD_B","","FMC_SDNWE","","","EVENTOUT"
"C13","PD0","I/O","","","","","","","","","PSSI_DE","FMC_A22","UART4_RX","FDCAN1_RX","","","FMC_A6","DCMIPP_HSYNC","","EVENTOUT"
